,mOTU
COMPLETE-SET-AND-BULK_mOTU_149,4
COMPLETE-SET-AND-BULK_mOTU_432,4
COMPLETE-SET-AND-BULK_mOTU_230,4
COMPLETE-SET-AND-BULK_mOTU_047,4
COMPLETE-SET-AND-BULK_mOTU_058,4
COMPLETE-SET-AND-BULK_mOTU_775,4
COMPLETE-SET-AND-BULK_mOTU_611,4
COMPLETE-SET-AND-BULK_mOTU_675,4
COMPLETE-SET-AND-BULK_mOTU_535,4
COMPLETE-SET-AND-BULK_mOTU_509,4
COMPLETE-SET-AND-BULK_mOTU_291,4
COMPLETE-SET-AND-BULK_mOTU_174,4
COMPLETE-SET-AND-BULK_mOTU_869,4
COMPLETE-SET-AND-BULK_mOTU_132,4
COMPLETE-SET-AND-BULK_mOTU_616,4
COMPLETE-SET-AND-BULK_mOTU_455,4
COMPLETE-SET-AND-BULK_mOTU_794,4
COMPLETE-SET-AND-BULK_mOTU_350,4
COMPLETE-SET-AND-BULK_mOTU_783,4
COMPLETE-SET-AND-BULK_mOTU_283,4
COMPLETE-SET-AND-BULK_mOTU_837,4
COMPLETE-SET-AND-BULK_mOTU_121,4
COMPLETE-SET-AND-BULK_mOTU_398,4
COMPLETE-SET-AND-BULK_mOTU_688,4
COMPLETE-SET-AND-BULK_mOTU_583,4
COMPLETE-SET-AND-BULK_mOTU_537,4
COMPLETE-SET-AND-BULK_mOTU_224,4
COMPLETE-SET-AND-BULK_mOTU_756,4
COMPLETE-SET-AND-BULK_mOTU_833,4
COMPLETE-SET-AND-BULK_mOTU_859,4
COMPLETE-SET-AND-BULK_mOTU_636,4
COMPLETE-SET-AND-BULK_mOTU_500,4
COMPLETE-SET-AND-BULK_mOTU_066,4
COMPLETE-SET-AND-BULK_mOTU_423,3
COMPLETE-SET-AND-BULK_mOTU_150,3
COMPLETE-SET-AND-BULK_mOTU_801,3
COMPLETE-SET-AND-BULK_mOTU_111,3
COMPLETE-SET-AND-BULK_mOTU_116,3
COMPLETE-SET-AND-BULK_mOTU_803,3
COMPLETE-SET-AND-BULK_mOTU_878,3
COMPLETE-SET-AND-BULK_mOTU_037,3
COMPLETE-SET-AND-BULK_mOTU_384,3
COMPLETE-SET-AND-BULK_mOTU_665,3
COMPLETE-SET-AND-BULK_mOTU_682,3
COMPLETE-SET-AND-BULK_mOTU_554,3
COMPLETE-SET-AND-BULK_mOTU_148,3
COMPLETE-SET-AND-BULK_mOTU_014,3
COMPLETE-SET-AND-BULK_mOTU_715,3
COMPLETE-SET-AND-BULK_mOTU_442,3
COMPLETE-SET-AND-BULK_mOTU_336,3
COMPLETE-SET-AND-BULK_mOTU_575,3
COMPLETE-SET-AND-BULK_mOTU_532,3
COMPLETE-SET-AND-BULK_mOTU_293,3
COMPLETE-SET-AND-BULK_mOTU_417,3
COMPLETE-SET-AND-BULK_mOTU_476,3
COMPLETE-SET-AND-BULK_mOTU_481,3
COMPLETE-SET-AND-BULK_mOTU_736,3
COMPLETE-SET-AND-BULK_mOTU_437,3
COMPLETE-SET-AND-BULK_mOTU_474,3
COMPLETE-SET-AND-BULK_mOTU_545,3
COMPLETE-SET-AND-BULK_mOTU_729,3
COMPLETE-SET-AND-BULK_mOTU_805,3
COMPLETE-SET-AND-BULK_mOTU_022,3
COMPLETE-SET-AND-BULK_mOTU_257,3
COMPLETE-SET-AND-BULK_mOTU_705,3
COMPLETE-SET-AND-BULK_mOTU_482,3
COMPLETE-SET-AND-BULK_mOTU_032,3
COMPLETE-SET-AND-BULK_mOTU_577,3
COMPLETE-SET-AND-BULK_mOTU_653,3
COMPLETE-SET-AND-BULK_mOTU_009,3
COMPLETE-SET-AND-BULK_mOTU_238,3
COMPLETE-SET-AND-BULK_mOTU_889,3
COMPLETE-SET-AND-BULK_mOTU_908,3
COMPLETE-SET-AND-BULK_mOTU_581,3
COMPLETE-SET-AND-BULK_mOTU_861,3
COMPLETE-SET-AND-BULK_mOTU_843,3
COMPLETE-SET-AND-BULK_mOTU_797,3
COMPLETE-SET-AND-BULK_mOTU_434,3
COMPLETE-SET-AND-BULK_mOTU_747,3
COMPLETE-SET-AND-BULK_mOTU_405,3
COMPLETE-SET-AND-BULK_mOTU_788,3
COMPLETE-SET-AND-BULK_mOTU_097,3
COMPLETE-SET-AND-BULK_mOTU_854,3
COMPLETE-SET-AND-BULK_mOTU_297,3
COMPLETE-SET-AND-BULK_mOTU_380,3
COMPLETE-SET-AND-BULK_mOTU_767,3
COMPLETE-SET-AND-BULK_mOTU_206,3
COMPLETE-SET-AND-BULK_mOTU_538,3
COMPLETE-SET-AND-BULK_mOTU_564,3
COMPLETE-SET-AND-BULK_mOTU_102,3
COMPLETE-SET-AND-BULK_mOTU_446,3
COMPLETE-SET-AND-BULK_mOTU_310,3
COMPLETE-SET-AND-BULK_mOTU_559,3
COMPLETE-SET-AND-BULK_mOTU_439,3
COMPLETE-SET-AND-BULK_mOTU_604,3
COMPLETE-SET-AND-BULK_mOTU_301,3
COMPLETE-SET-AND-BULK_mOTU_811,3
COMPLETE-SET-AND-BULK_mOTU_679,3
COMPLETE-SET-AND-BULK_mOTU_015,3
COMPLETE-SET-AND-BULK_mOTU_732,3
COMPLETE-SET-AND-BULK_mOTU_524,3
COMPLETE-SET-AND-BULK_mOTU_069,3
COMPLETE-SET-AND-BULK_mOTU_277,3
COMPLETE-SET-AND-BULK_mOTU_198,3
COMPLETE-SET-AND-BULK_mOTU_165,3
COMPLETE-SET-AND-BULK_mOTU_226,3
COMPLETE-SET-AND-BULK_mOTU_690,3
COMPLETE-SET-AND-BULK_mOTU_369,3
COMPLETE-SET-AND-BULK_mOTU_645,3
COMPLETE-SET-AND-BULK_mOTU_776,3
COMPLETE-SET-AND-BULK_mOTU_187,3
COMPLETE-SET-AND-BULK_mOTU_755,3
COMPLETE-SET-AND-BULK_mOTU_846,3
COMPLETE-SET-AND-BULK_mOTU_502,3
COMPLETE-SET-AND-BULK_mOTU_610,3
COMPLETE-SET-AND-BULK_mOTU_178,3
COMPLETE-SET-AND-BULK_mOTU_477,3
COMPLETE-SET-AND-BULK_mOTU_195,3
COMPLETE-SET-AND-BULK_mOTU_872,3
COMPLETE-SET-AND-BULK_mOTU_289,3
COMPLETE-SET-AND-BULK_mOTU_826,3
COMPLETE-SET-AND-BULK_mOTU_886,2
COMPLETE-SET-AND-BULK_mOTU_720,2
COMPLETE-SET-AND-BULK_mOTU_875,2
COMPLETE-SET-AND-BULK_mOTU_802,2
COMPLETE-SET-AND-BULK_mOTU_847,2
COMPLETE-SET-AND-BULK_mOTU_171,2
COMPLETE-SET-AND-BULK_mOTU_812,2
COMPLETE-SET-AND-BULK_mOTU_385,2
COMPLETE-SET-AND-BULK_mOTU_569,2
COMPLETE-SET-AND-BULK_mOTU_587,2
COMPLETE-SET-AND-BULK_mOTU_684,2
COMPLETE-SET-AND-BULK_mOTU_717,2
COMPLETE-SET-AND-BULK_mOTU_503,2
COMPLETE-SET-AND-BULK_mOTU_351,2
COMPLETE-SET-AND-BULK_mOTU_529,2
COMPLETE-SET-AND-BULK_mOTU_676,2
COMPLETE-SET-AND-BULK_mOTU_760,2
COMPLETE-SET-AND-BULK_mOTU_145,2
COMPLETE-SET-AND-BULK_mOTU_766,2
COMPLETE-SET-AND-BULK_mOTU_596,2
COMPLETE-SET-AND-BULK_mOTU_844,2
COMPLETE-SET-AND-BULK_mOTU_893,2
COMPLETE-SET-AND-BULK_mOTU_759,2
COMPLETE-SET-AND-BULK_mOTU_103,2
COMPLETE-SET-AND-BULK_mOTU_818,2
COMPLETE-SET-AND-BULK_mOTU_744,2
COMPLETE-SET-AND-BULK_mOTU_185,2
COMPLETE-SET-AND-BULK_mOTU_574,2
COMPLETE-SET-AND-BULK_mOTU_620,2
COMPLETE-SET-AND-BULK_mOTU_199,2
COMPLETE-SET-AND-BULK_mOTU_079,2
COMPLETE-SET-AND-BULK_mOTU_866,2
COMPLETE-SET-AND-BULK_mOTU_695,2
COMPLETE-SET-AND-BULK_mOTU_448,2
COMPLETE-SET-AND-BULK_mOTU_646,2
COMPLETE-SET-AND-BULK_mOTU_317,2
COMPLETE-SET-AND-BULK_mOTU_586,2
COMPLETE-SET-AND-BULK_mOTU_885,2
COMPLETE-SET-AND-BULK_mOTU_689,2
COMPLETE-SET-AND-BULK_mOTU_424,2
COMPLETE-SET-AND-BULK_mOTU_786,2
COMPLETE-SET-AND-BULK_mOTU_158,2
COMPLETE-SET-AND-BULK_mOTU_419,2
COMPLETE-SET-AND-BULK_mOTU_346,2
COMPLETE-SET-AND-BULK_mOTU_496,2
COMPLETE-SET-AND-BULK_mOTU_395,2
COMPLETE-SET-AND-BULK_mOTU_814,2
COMPLETE-SET-AND-BULK_mOTU_672,2
COMPLETE-SET-AND-BULK_mOTU_386,2
COMPLETE-SET-AND-BULK_mOTU_880,2
COMPLETE-SET-AND-BULK_mOTU_142,2
COMPLETE-SET-AND-BULK_mOTU_456,2
COMPLETE-SET-AND-BULK_mOTU_622,2
COMPLETE-SET-AND-BULK_mOTU_764,2
COMPLETE-SET-AND-BULK_mOTU_420,2
COMPLETE-SET-AND-BULK_mOTU_615,2
COMPLETE-SET-AND-BULK_mOTU_371,2
COMPLETE-SET-AND-BULK_mOTU_307,2
COMPLETE-SET-AND-BULK_mOTU_820,2
COMPLETE-SET-AND-BULK_mOTU_428,2
COMPLETE-SET-AND-BULK_mOTU_867,2
COMPLETE-SET-AND-BULK_mOTU_280,2
COMPLETE-SET-AND-BULK_mOTU_633,2
COMPLETE-SET-AND-BULK_mOTU_396,2
COMPLETE-SET-AND-BULK_mOTU_634,2
COMPLETE-SET-AND-BULK_mOTU_743,2
COMPLETE-SET-AND-BULK_mOTU_580,2
COMPLETE-SET-AND-BULK_mOTU_562,2
COMPLETE-SET-AND-BULK_mOTU_303,2
COMPLETE-SET-AND-BULK_mOTU_133,2
COMPLETE-SET-AND-BULK_mOTU_568,2
COMPLETE-SET-AND-BULK_mOTU_453,2
COMPLETE-SET-AND-BULK_mOTU_806,2
COMPLETE-SET-AND-BULK_mOTU_390,2
COMPLETE-SET-AND-BULK_mOTU_135,2
COMPLETE-SET-AND-BULK_mOTU_410,2
COMPLETE-SET-AND-BULK_mOTU_782,2
COMPLETE-SET-AND-BULK_mOTU_735,2
COMPLETE-SET-AND-BULK_mOTU_388,2
COMPLETE-SET-AND-BULK_mOTU_233,2
COMPLETE-SET-AND-BULK_mOTU_742,2
COMPLETE-SET-AND-BULK_mOTU_400,2
COMPLETE-SET-AND-BULK_mOTU_750,2
COMPLETE-SET-AND-BULK_mOTU_338,2
COMPLETE-SET-AND-BULK_mOTU_624,2
COMPLETE-SET-AND-BULK_mOTU_768,2
COMPLETE-SET-AND-BULK_mOTU_780,2
COMPLETE-SET-AND-BULK_mOTU_650,2
COMPLETE-SET-AND-BULK_mOTU_362,2
COMPLETE-SET-AND-BULK_mOTU_194,2
COMPLETE-SET-AND-BULK_mOTU_546,2
COMPLETE-SET-AND-BULK_mOTU_772,2
COMPLETE-SET-AND-BULK_mOTU_858,2
COMPLETE-SET-AND-BULK_mOTU_536,2
COMPLETE-SET-AND-BULK_mOTU_719,2
COMPLETE-SET-AND-BULK_mOTU_525,2
COMPLETE-SET-AND-BULK_mOTU_498,2
COMPLETE-SET-AND-BULK_mOTU_228,2
COMPLETE-SET-AND-BULK_mOTU_445,2
COMPLETE-SET-AND-BULK_mOTU_663,2
COMPLETE-SET-AND-BULK_mOTU_698,2
COMPLETE-SET-AND-BULK_mOTU_407,2
COMPLETE-SET-AND-BULK_mOTU_692,2
COMPLETE-SET-AND-BULK_mOTU_593,2
COMPLETE-SET-AND-BULK_mOTU_422,2
COMPLETE-SET-AND-BULK_mOTU_073,2
COMPLETE-SET-AND-BULK_mOTU_761,2
COMPLETE-SET-AND-BULK_mOTU_712,2
COMPLETE-SET-AND-BULK_mOTU_839,2
COMPLETE-SET-AND-BULK_mOTU_012,2
COMPLETE-SET-AND-BULK_mOTU_870,2
COMPLETE-SET-AND-BULK_mOTU_808,2
COMPLETE-SET-AND-BULK_mOTU_655,2
COMPLETE-SET-AND-BULK_mOTU_901,2
COMPLETE-SET-AND-BULK_mOTU_740,2
COMPLETE-SET-AND-BULK_mOTU_792,2
COMPLETE-SET-AND-BULK_mOTU_190,2
COMPLETE-SET-AND-BULK_mOTU_741,2
COMPLETE-SET-AND-BULK_mOTU_078,2
COMPLETE-SET-AND-BULK_mOTU_159,2
COMPLETE-SET-AND-BULK_mOTU_831,2
COMPLETE-SET-AND-BULK_mOTU_584,2
COMPLETE-SET-AND-BULK_mOTU_905,2
COMPLETE-SET-AND-BULK_mOTU_316,2
COMPLETE-SET-AND-BULK_mOTU_023,2
COMPLETE-SET-AND-BULK_mOTU_694,2
COMPLETE-SET-AND-BULK_mOTU_074,2
COMPLETE-SET-AND-BULK_mOTU_591,2
COMPLETE-SET-AND-BULK_mOTU_118,2
COMPLETE-SET-AND-BULK_mOTU_526,2
COMPLETE-SET-AND-BULK_mOTU_140,2
COMPLETE-SET-AND-BULK_mOTU_561,2
COMPLETE-SET-AND-BULK_mOTU_375,2
COMPLETE-SET-AND-BULK_mOTU_829,2
COMPLETE-SET-AND-BULK_mOTU_547,2
COMPLETE-SET-AND-BULK_mOTU_605,2
COMPLETE-SET-AND-BULK_mOTU_156,2
COMPLETE-SET-AND-BULK_mOTU_399,2
COMPLETE-SET-AND-BULK_mOTU_773,2
COMPLETE-SET-AND-BULK_mOTU_841,2
COMPLETE-SET-AND-BULK_mOTU_578,2
COMPLETE-SET-AND-BULK_mOTU_333,2
COMPLETE-SET-AND-BULK_mOTU_651,2
COMPLETE-SET-AND-BULK_mOTU_497,2
COMPLETE-SET-AND-BULK_mOTU_827,2
COMPLETE-SET-AND-BULK_mOTU_401,2
COMPLETE-SET-AND-BULK_mOTU_393,2
COMPLETE-SET-AND-BULK_mOTU_464,2
COMPLETE-SET-AND-BULK_mOTU_817,1
COMPLETE-SET-AND-BULK_mOTU_000,1
COMPLETE-SET-AND-BULK_mOTU_490,1
COMPLETE-SET-AND-BULK_mOTU_241,1
COMPLETE-SET-AND-BULK_mOTU_749,1
COMPLETE-SET-AND-BULK_mOTU_084,1
COMPLETE-SET-AND-BULK_mOTU_892,1
COMPLETE-SET-AND-BULK_mOTU_459,1
COMPLETE-SET-AND-BULK_mOTU_862,1
COMPLETE-SET-AND-BULK_mOTU_821,1
COMPLETE-SET-AND-BULK_mOTU_479,1
COMPLETE-SET-AND-BULK_mOTU_898,1
COMPLETE-SET-AND-BULK_mOTU_457,1
COMPLETE-SET-AND-BULK_mOTU_025,1
COMPLETE-SET-AND-BULK_mOTU_458,1
COMPLETE-SET-AND-BULK_mOTU_607,1
COMPLETE-SET-AND-BULK_mOTU_028,1
COMPLETE-SET-AND-BULK_mOTU_778,1
COMPLETE-SET-AND-BULK_mOTU_048,1
COMPLETE-SET-AND-BULK_mOTU_556,1
COMPLETE-SET-AND-BULK_mOTU_549,1
COMPLETE-SET-AND-BULK_mOTU_851,1
COMPLETE-SET-AND-BULK_mOTU_128,1
COMPLETE-SET-AND-BULK_mOTU_592,1
COMPLETE-SET-AND-BULK_mOTU_864,1
COMPLETE-SET-AND-BULK_mOTU_478,1
COMPLETE-SET-AND-BULK_mOTU_600,1
COMPLETE-SET-AND-BULK_mOTU_027,1
COMPLETE-SET-AND-BULK_mOTU_550,1
COMPLETE-SET-AND-BULK_mOTU_602,1
COMPLETE-SET-AND-BULK_mOTU_415,1
COMPLETE-SET-AND-BULK_mOTU_644,1
COMPLETE-SET-AND-BULK_mOTU_857,1
COMPLETE-SET-AND-BULK_mOTU_873,1
COMPLETE-SET-AND-BULK_mOTU_191,1
COMPLETE-SET-AND-BULK_mOTU_718,1
COMPLETE-SET-AND-BULK_mOTU_809,1
COMPLETE-SET-AND-BULK_mOTU_286,1
COMPLETE-SET-AND-BULK_mOTU_242,1
COMPLETE-SET-AND-BULK_mOTU_855,1
COMPLETE-SET-AND-BULK_mOTU_454,1
COMPLETE-SET-AND-BULK_mOTU_259,1
COMPLETE-SET-AND-BULK_mOTU_850,1
COMPLETE-SET-AND-BULK_mOTU_514,1
COMPLETE-SET-AND-BULK_mOTU_119,1
COMPLETE-SET-AND-BULK_mOTU_895,1
COMPLETE-SET-AND-BULK_mOTU_845,1
COMPLETE-SET-AND-BULK_mOTU_762,1
COMPLETE-SET-AND-BULK_mOTU_626,1
COMPLETE-SET-AND-BULK_mOTU_628,1
COMPLETE-SET-AND-BULK_mOTU_810,1
COMPLETE-SET-AND-BULK_mOTU_389,1
COMPLETE-SET-AND-BULK_mOTU_707,1
COMPLETE-SET-AND-BULK_mOTU_467,1
COMPLETE-SET-AND-BULK_mOTU_331,1
COMPLETE-SET-AND-BULK_mOTU_700,1
COMPLETE-SET-AND-BULK_mOTU_640,1
COMPLETE-SET-AND-BULK_mOTU_890,1
COMPLETE-SET-AND-BULK_mOTU_771,1
COMPLETE-SET-AND-BULK_mOTU_614,1
COMPLETE-SET-AND-BULK_mOTU_863,1
COMPLETE-SET-AND-BULK_mOTU_204,1
COMPLETE-SET-AND-BULK_mOTU_668,1
COMPLETE-SET-AND-BULK_mOTU_372,1
COMPLETE-SET-AND-BULK_mOTU_598,1
COMPLETE-SET-AND-BULK_mOTU_501,1
COMPLETE-SET-AND-BULK_mOTU_621,1
COMPLETE-SET-AND-BULK_mOTU_207,1
COMPLETE-SET-AND-BULK_mOTU_013,1
COMPLETE-SET-AND-BULK_mOTU_673,1
COMPLETE-SET-AND-BULK_mOTU_703,1
COMPLETE-SET-AND-BULK_mOTU_871,1
COMPLETE-SET-AND-BULK_mOTU_485,1
COMPLETE-SET-AND-BULK_mOTU_711,1
COMPLETE-SET-AND-BULK_mOTU_883,1
COMPLETE-SET-AND-BULK_mOTU_779,1
COMPLETE-SET-AND-BULK_mOTU_725,1
COMPLETE-SET-AND-BULK_mOTU_169,1
COMPLETE-SET-AND-BULK_mOTU_751,1
COMPLETE-SET-AND-BULK_mOTU_487,1
COMPLETE-SET-AND-BULK_mOTU_881,1
COMPLETE-SET-AND-BULK_mOTU_790,1
COMPLETE-SET-AND-BULK_mOTU_534,1
COMPLETE-SET-AND-BULK_mOTU_799,1
COMPLETE-SET-AND-BULK_mOTU_484,1
COMPLETE-SET-AND-BULK_mOTU_897,1
COMPLETE-SET-AND-BULK_mOTU_734,1
COMPLETE-SET-AND-BULK_mOTU_896,1
COMPLETE-SET-AND-BULK_mOTU_666,1
COMPLETE-SET-AND-BULK_mOTU_625,1
COMPLETE-SET-AND-BULK_mOTU_542,1
COMPLETE-SET-AND-BULK_mOTU_774,1
COMPLETE-SET-AND-BULK_mOTU_530,1
COMPLETE-SET-AND-BULK_mOTU_686,1
COMPLETE-SET-AND-BULK_mOTU_383,1
COMPLETE-SET-AND-BULK_mOTU_832,1
COMPLETE-SET-AND-BULK_mOTU_379,1
COMPLETE-SET-AND-BULK_mOTU_738,1
COMPLETE-SET-AND-BULK_mOTU_087,1
COMPLETE-SET-AND-BULK_mOTU_560,1
COMPLETE-SET-AND-BULK_mOTU_652,1
COMPLETE-SET-AND-BULK_mOTU_429,1
COMPLETE-SET-AND-BULK_mOTU_166,1
COMPLETE-SET-AND-BULK_mOTU_727,1
COMPLETE-SET-AND-BULK_mOTU_468,1
COMPLETE-SET-AND-BULK_mOTU_882,1
COMPLETE-SET-AND-BULK_mOTU_691,1
COMPLETE-SET-AND-BULK_mOTU_852,1
COMPLETE-SET-AND-BULK_mOTU_072,1
COMPLETE-SET-AND-BULK_mOTU_567,1
COMPLETE-SET-AND-BULK_mOTU_486,1
COMPLETE-SET-AND-BULK_mOTU_582,1
COMPLETE-SET-AND-BULK_mOTU_443,1
COMPLETE-SET-AND-BULK_mOTU_702,1
COMPLETE-SET-AND-BULK_mOTU_305,1
COMPLETE-SET-AND-BULK_mOTU_295,1
COMPLETE-SET-AND-BULK_mOTU_249,1
COMPLETE-SET-AND-BULK_mOTU_309,1
COMPLETE-SET-AND-BULK_mOTU_769,1
COMPLETE-SET-AND-BULK_mOTU_630,1
COMPLETE-SET-AND-BULK_mOTU_781,1
COMPLETE-SET-AND-BULK_mOTU_202,1
COMPLETE-SET-AND-BULK_mOTU_572,1
COMPLETE-SET-AND-BULK_mOTU_573,1
COMPLETE-SET-AND-BULK_mOTU_708,1
COMPLETE-SET-AND-BULK_mOTU_828,1
COMPLETE-SET-AND-BULK_mOTU_681,1
COMPLETE-SET-AND-BULK_mOTU_551,1
COMPLETE-SET-AND-BULK_mOTU_785,1
COMPLETE-SET-AND-BULK_mOTU_506,1
COMPLETE-SET-AND-BULK_mOTU_090,1
COMPLETE-SET-AND-BULK_mOTU_052,1
COMPLETE-SET-AND-BULK_mOTU_608,1
COMPLETE-SET-AND-BULK_mOTU_505,1
COMPLETE-SET-AND-BULK_mOTU_860,1
COMPLETE-SET-AND-BULK_mOTU_168,1
COMPLETE-SET-AND-BULK_mOTU_412,1
COMPLETE-SET-AND-BULK_mOTU_874,1
COMPLETE-SET-AND-BULK_mOTU_252,1
COMPLETE-SET-AND-BULK_mOTU_322,1
COMPLETE-SET-AND-BULK_mOTU_804,1
COMPLETE-SET-AND-BULK_mOTU_800,1
COMPLETE-SET-AND-BULK_mOTU_493,1
COMPLETE-SET-AND-BULK_mOTU_724,1
COMPLETE-SET-AND-BULK_mOTU_363,1
COMPLETE-SET-AND-BULK_mOTU_348,1
COMPLETE-SET-AND-BULK_mOTU_637,1
COMPLETE-SET-AND-BULK_mOTU_063,1
COMPLETE-SET-AND-BULK_mOTU_570,1
COMPLETE-SET-AND-BULK_mOTU_830,1
COMPLETE-SET-AND-BULK_mOTU_706,1
COMPLETE-SET-AND-BULK_mOTU_796,1
COMPLETE-SET-AND-BULK_mOTU_267,1
COMPLETE-SET-AND-BULK_mOTU_699,1
COMPLETE-SET-AND-BULK_mOTU_765,1
COMPLETE-SET-AND-BULK_mOTU_726,1
COMPLETE-SET-AND-BULK_mOTU_813,1
COMPLETE-SET-AND-BULK_mOTU_834,1
COMPLETE-SET-AND-BULK_mOTU_522,1
COMPLETE-SET-AND-BULK_mOTU_728,1
COMPLETE-SET-AND-BULK_mOTU_435,1
COMPLETE-SET-AND-BULK_mOTU_784,1
COMPLETE-SET-AND-BULK_mOTU_260,1
COMPLETE-SET-AND-BULK_mOTU_576,1
COMPLETE-SET-AND-BULK_mOTU_722,1
COMPLETE-SET-AND-BULK_mOTU_795,1
COMPLETE-SET-AND-BULK_mOTU_543,1
COMPLETE-SET-AND-BULK_mOTU_629,1
COMPLETE-SET-AND-BULK_mOTU_489,1
COMPLETE-SET-AND-BULK_mOTU_685,1
COMPLETE-SET-AND-BULK_mOTU_201,1
COMPLETE-SET-AND-BULK_mOTU_518,1
COMPLETE-SET-AND-BULK_mOTU_345,1
COMPLETE-SET-AND-BULK_mOTU_824,1
COMPLETE-SET-AND-BULK_mOTU_557,1
COMPLETE-SET-AND-BULK_mOTU_299,1
COMPLETE-SET-AND-BULK_mOTU_730,1
COMPLETE-SET-AND-BULK_mOTU_900,1
COMPLETE-SET-AND-BULK_mOTU_594,1
COMPLETE-SET-AND-BULK_mOTU_714,1
COMPLETE-SET-AND-BULK_mOTU_757,1
COMPLETE-SET-AND-BULK_mOTU_639,1
COMPLETE-SET-AND-BULK_mOTU_876,1
COMPLETE-SET-AND-BULK_mOTU_105,1
COMPLETE-SET-AND-BULK_mOTU_752,1
COMPLETE-SET-AND-BULK_mOTU_777,1
COMPLETE-SET-AND-BULK_mOTU_339,1
COMPLETE-SET-AND-BULK_mOTU_868,1
COMPLETE-SET-AND-BULK_mOTU_904,1
COMPLETE-SET-AND-BULK_mOTU_360,1
